書名,ISBN/EAN,作者,出版社,product_id
被討厭的勇氣: 自我啟發之父阿德勒的教導,9789861371955 ,岸見一郎/ 古賀史健,,1001136022367150 
"主角模式: 從我得這樣到我可以選擇, 影響7500萬人的成長祕密",9786267549438 ,樊登,,10012011762683000000000 
財商: 不費力才會贏 (作者親簽版),4711441074340 ,吳淡如,,10012010632683000000000 
"最新! 新制多益TOEIC聽力題庫解析: 最新收錄精準10回模擬試題!完整反映命題趨勢、大幅提升應考能力, 黃金證書手到擒來! (附2MP3/模擬試題/單題分割/單字記憶3種版本/QRCode)",9789864543632 ,Hackers Academia,,10012016082682500000000 
非暴力溝通: 愛的語言 (全新修訂版),9789575469078 ,馬歇爾．盧森堡,,1001111072787480 
絕叫: 日本推理四大獎、現象級小說經典復活!,9789861339986 ,葉真中顯,,10012036172683000000000 
地。關於地球的運動 1-8 (豪華盒裝版/8冊合售),9786264349123 ,魚豊,,10012116312683000000000 
排球少年!! REMIX版 2 (首刷附錄版),9786260260057 ,古舘春一,,10012150962683000000000 
SAKAMOTO DAYS坂本日常 23 (首刷限定版),9786260264000 ,鈴木祐斗,,10012150962683000000000 
人際關係的思維槓桿: 打造深刻連結的26個支點,9786264177368 ,王宏嘉 (米克)/ 陳卓凡 (麥可),,10012030542683000000000 
"小鳥與理夢人: 本屋大賞作家小川糸全新挑戰, 猶如護身符般的感淚之作! (限量作者親簽版)",4711510765469 ,小川糸,,10012122082683000000000 
日本語GOGOGO 1 (增訂版),9789860612684 ,財團法人語言訓練測驗中心,,1001129492682060000000 
致富心態: 關於財富、貪婪與幸福的20堂理財課 (全球暢銷千萬增訂版),9786264177917 ,摩根．豪瑟,,10012030542683000000000 
在小山和小山之間: 故事大爆炸年度首獎之作 (限量作者親簽版),4711510765346 ,李停,,10012122082683000000000 
冠軍之路: 2024世界棒球12強賽感動全紀錄聯名電影書 (附首刷熱血應援透卡組),4719025013303 ,曾文誠/ 陳祖安,,10012010302683000000000 
人間失格 (典藏版),9789864892662 ,太宰治,,1001180772673990 
難以承受的悸動是戀愛嗎? 3 (首刷限定版),4714453010528 ,空華みあ,,10012011762683000000000 
簡明台灣人四百年史 (圖文精華版),9789578018273 ,史明,,1001116222632160 
特殊傳說 III 11,9786263842762 ,護玄,,10012046692683000000000 
