書名,作者,出版社,出版日期,ISBN,URL
惡靈剋星 (首刷限定版) 5,修改,東立,2026/01/15,9786260259983,https://www.books.com.tw/products/0011038935
從破產人生逆襲到財務自由：你一定要懂的財商真相，36個翻轉心法把人生找回來,修改,時報出版,2026/02/10,9786264442312,https://www.books.com.tw/products/0011044006
小書痴的下剋上 短篇集Ⅲ：為了成為圖書管理員不擇手段！,修改,皇冠,2026/02/09,9789573343899,https://www.books.com.tw/products/0011045024
博客來,,,,,https://www.books.com.tw/products/0011038583
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 全,修改,東立,2026/02/12,9786260265700,https://www.books.com.tw/products/0011042323
惡靈剋星 2 (首刷限定版),修改,東立,2025/04/01,9786260244835,https://www.books.com.tw/products/0011016568
指數致富：普通人也能複製的長期致富法則,修改,天下文化,2026/02/06,9786264177528,https://www.books.com.tw/products/0011044178
我可能錯了：森林智者的最後一堂人生課,修改,先覺,2023/02/01,9789861344454,https://www.books.com.tw/products/0010947051
博客來,,,,,https://www.books.com.tw/products/0011042845
我寫故我在：寫作文明大接力，人類想像力歷史造就AI世紀,修改,時報出版,2026/02/03,9786264441582,https://www.books.com.tw/products/0011043247
日本語GOGOGO 1 增訂版,修改,豪風,2021/09/29,9789860612684,https://www.books.com.tw/products/0010901320
鏈鋸人 21,修改,東立,2026/01/16,9786260257149,https://www.books.com.tw/products/0011035312
SAKAMOTO DAYS 坂本日常 (首刷限定版) 24,修改,東立,2026/03/02,9786260267087,https://www.books.com.tw/products/0011044661
惡靈剋星 4 (首刷限定版),修改,東立,2025/07/24,9786260249793,https://www.books.com.tw/products/0011023610
金田一37歲之事件簿 17,修改,東立,2026/02/09,9786260241032,https://www.books.com.tw/products/0011043886
薰香花朵凛然綻放 (首刷限定版) 15,修改,東立,2026/02/02,9786260261375,https://www.books.com.tw/products/0011042075
博客來,,,,,https://www.books.com.tw/products/0011044252
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,修改,商業周刊,2023/05/30,9786267252710,https://www.books.com.tw/products/0010957881
絕叫【日本推理四大獎、現象級小說經典復活！】,修改,圓神,2025/12/01,9789861339986,https://www.books.com.tw/products/0011037830
博客來,,,,,https://www.books.com.tw/products/0011042309
100天後盛開的百合,修改,台灣角川,2026/02/05,9786264359986,https://www.books.com.tw/products/0011038498
排球少年!!REMIX版 (首刷附錄版) 2,修改,東立,2026/01/30,9786260260057,https://www.books.com.tw/products/0011041756
幼兒園教保活動課程大綱,修改,教育部國民及學前教育署,2024/09/01,9789860540376,https://www.books.com.tw/products/0010780550
