書名,作者,原文作者,譯者,繪者,出版社,出版日期,ISBN,URL
轉型正義之路：島嶼的過去與未來 二○二二年增訂版,周婉窈,,,,玉山社,2022/12/12,9789862943359,https://www.books.com.tw/products/0010944069
臺灣歷史圖說,周婉窈,,,,聯經出版公司,2025/10/02,9789570878059,https://www.books.com.tw/products/0011033534
刪掉容易，忘掉很難,林思齊,,,,時報出版,2026/01/20,9786264441049,https://www.books.com.tw/products/0011041796
傳說的放蕩肉棒VS鐵壁後庭(01),"ととふみ, 熊次郎",,,,,,,https://www.books.com.tw/products/0011044060
在小山和小山之間：故事大爆炸年度首獎之作,李停,,,,悅知文化,2026/01/26,9786267721834,https://www.books.com.tw/products/0011042972
長期買進：財金教授周冠男的42堂自制力投資課,周冠男,,,,天下文化,2024/07/31,9786263558434,https://www.books.com.tw/products/0010996040
窮查理的普通常識(紀念典藏版)：巴菲特50年智慧合夥人查理.蒙格的人生哲學,"查理．蒙格, 李彔",Charles T. Munger,Charles T. Munger,,商業周刊,2024/04/30,9786267366882,https://www.books.com.tw/products/0010987407
背叛者的情歌 (3),"外岡もったす, Linca",,,,,,,https://www.books.com.tw/products/0011038583
金剛經白話講座：放下的人生修行,王思迅,,,,如果出版社,2025/07/28,9786267752111,https://www.books.com.tw/products/0011027110
關於我在無意間被隔壁的天使變成廢柴這件事 (特裝版) 11.5,"佐伯さん, 郭蕙寧",,,,東立,2026/02/05,9786260268268,https://www.books.com.tw/products/0011042695
惡靈剋星 (首刷限定版) 5,"新翔子, 羅筱君",,羅筱君,,東立,2026/01/15,9786260259983,https://www.books.com.tw/products/0011038935
薰香花朵凛然綻放 (首刷限定版) 15,"三香見SAKA, 羅筱君",,羅筱君,,東立,2026/02/02,9786260261375,https://www.books.com.tw/products/0011042075
異世界歸來的舅舅 (13),"殆ど死んでいる, 咖比獸",,,,台灣角川,2026/02/05,9786264450058,https://www.books.com.tw/products/0011038499
等你成為Sub，再好好獎勵你 全,"まっけ, 加奈",,,,,,,https://www.books.com.tw/products/0011042309
底層邏輯：看清這個世界的底牌,劉潤,,,,時報出版,2022/03/29,9786263350717,https://www.books.com.tw/products/0010919211
區判：品味與美學的知識漫畫,"皮耶‧布赫迪厄, 蒂法恩‧里維埃, 陳詠薇",Pierre Bourdieu,Pierre Bourdieu,,衛城出版,2025/01/02,9786267645017,https://www.books.com.tw/products/0011009285
冠軍之路：2024世界棒球12強賽感動全紀錄【聯名電影書】,修改,,,,遠流,2026/01/29,9786264185295,https://www.books.com.tw/products/0011042760
排球少年!!REMIX版 (首刷附錄版) 2,修改,,,,東立,2026/01/30,9786260260057,https://www.books.com.tw/products/0011041756
我寫故我在：寫作文明大接力，人類想像力歷史造就AI世紀,修改,,,,時報出版,2026/02/03,9786264441582,https://www.books.com.tw/products/0011043247
難以承受的悸動是戀愛嗎？ 4,修改,,小春日和,,台灣東販,2026/02/25,9786264373777,https://www.books.com.tw/products/0011045870
老師不敢教的國學常識：課本外的文壇八卦、黑暗朝堂、追愛火葬場……把古人剝光光，一探赤裸裸的人性真相！,修改,,,,麥田,2026/02/26,9786267813492,https://www.books.com.tw/products/0011045496
學校不會教的人生課：怡慧老師的實踐成長學【親簽，博客來獨家書衣版】,宋怡慧,,,,平安文化,2026/03/02,9786267859070,https://www.books.com.tw/products/0011045804
我們不可能成為戀人!絕對不行。 (※似乎可行?)短篇集 (首刷限定版) 全,"みかみてれん, 陳柏伸",,陳柏伸,,東立,2026/02/12,9786260265717,https://www.books.com.tw/products/0011042324
