書名,ISBN,URL
我們不可能成為戀人！絕對不行。 (※似乎可行？)短篇集 全,9786260265700 ,https://www.books.com.tw/products/0011042323
排球少年!!REMIX版 (首刷附錄版) 2,9786260260057 ,https://www.books.com.tw/products/0011041756
惡靈剋星 3 (首刷限定版),9786260247140 ,https://www.books.com.tw/products/0011020795
FLASHLIGHT 1【特裝版】,,https://www.books.com.tw/products/0011038515
指數致富：普通人也能複製的長期致富法則,9786264177528 ,https://www.books.com.tw/products/0011044178
愛我，直達深處 (首刷限定版) V,,https://www.books.com.tw/products/0011042306
我寫故我在：寫作文明大接力，人類想像力歷史造就AI世紀,9786264441582 ,https://www.books.com.tw/products/0011043247
簡明 台灣人四百年史：圖文精華版,9789578018273 ,https://www.books.com.tw/products/0010768686
100天後盛開的百合,9786264359986 ,https://www.books.com.tw/products/0011038498
惡靈剋星 2 (首刷限定版),9786260244835 ,https://www.books.com.tw/products/0011016568
獸人雙胞胎與少年Ω的條件婚約 (首刷限定版) 2,,https://www.books.com.tw/products/0011042308
日本語GOGOGO 1 增訂版,9789860612684 ,https://www.books.com.tw/products/0010901320
鏈鋸人 21,9786260257149 ,https://www.books.com.tw/products/0011035312
全新！新制多益 TOEIC 單字大全 ：備考多益唯一推薦權威單字書！不論題型如何變化，內容持續更新，常考字彙表達完全掌握，準確度最高！（附音檔下載QR碼）,9789864542284 ,https://www.books.com.tw/products/0010929979
惡靈剋星 4 (首刷限定版),9786260249793 ,https://www.books.com.tw/products/0011023610
AI 研究寫作全攻略：NotebookLM × Gemini × ChatGPT × Perplexity,9789863128601 ,https://www.books.com.tw/products/0011044193
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,9786267252710 ,https://www.books.com.tw/products/0010957881
獄卒克拉肯(05),9786264368391 ,https://www.books.com.tw/products/0011044212
絕叫【日本推理四大獎、現象級小說經典復活！】,9789861339986 ,https://www.books.com.tw/products/0011037830
薰香花朵凛然綻放 (首刷限定版) 16,9786260268589 ,https://www.books.com.tw/products/0011044665
愛日與新娘(03)END特典版,,https://www.books.com.tw/products/0011045088
GACHIAKUTA (首刷限定版) 16,9786260265663 ,https://www.books.com.tw/products/0011042077
零花費上手！Gemini 3 / NotebookLM / Nano Banana Pro / Veo 3.x 最強 AI 組合技，打造全能工作流,9789863128595 ,https://www.books.com.tw/products/0011039756
ONE-PUNCH MAN 一拳超人 34,9786260259945 ,https://www.books.com.tw/products/0011041339
活出你的本來面目：獻給現代人的榮格心靈指南：在有限的人生裡，活出此生的真正意義,9786263587854 ,https://www.books.com.tw/products/0011034931
漫畫易經【全新書衣版】,9786269725496 ,https://www.books.com.tw/products/0010993426
阿甘投資法：不看盤、不選股、不挑買點也能穩穩賺,9789864799961 ,https://www.books.com.tw/products/0010858721
現在的是哪一個多聞！？  7  首刷限定版,,https://www.books.com.tw/products/0011044025
非暴力溝通：愛的語言(全新修訂版),9789575469078 ,https://www.books.com.tw/products/0010831754
麵包小偷6：麵包小偷和蘋果假面超人,9786264311076 ,https://www.books.com.tw/products/0011040109
張忠謀自傳全集（上下冊）,,https://www.books.com.tw/products/0011005571
情緒大飯店,9786267430033 ,https://www.books.com.tw/products/0010985365
對你的承諾 (首刷限定版) 4,,https://www.books.com.tw/products/0011042319
擁有超常技能的異世界流浪美食家17 夏里亞賓肉排×孤島潛伏者 (首刷限定版) 17,9786260268343 ,https://www.books.com.tw/products/0011042327
槓桿ETF投資法：用50正2輕鬆打敗0050＆0056，提早退休,9786269612130 ,https://www.books.com.tw/products/0010953374
寫進時間的故事【限量親簽版】（首刷附贈：寫時．明信片）,,https://www.books.com.tw/products/0011044690
葬送的芙莉蓮公式漫迷手冊 全,9786260237530 ,https://www.books.com.tw/products/0011039892
別再騙自己：把日子過得更清醒的101個提示,9786263587564 ,https://www.books.com.tw/products/0011030284
小美老師如是說 10,9786260262235 ,https://www.books.com.tw/products/0011042686
日本語GOGOGO 1 練習帳 增訂版,9786269542109 ,https://www.books.com.tw/products/0010920454
金田一37歲之事件簿 17,9786260241032 ,https://www.books.com.tw/products/0011043886
惡靈剋星 1 (首刷限定版),9786260234478 ,https://www.books.com.tw/products/0011010797
