書名,作者,出版社,出版日期,ISBN/EAN,product_id,商品網址,是否有電子書
少年臺灣史 (2019年增訂版),"周婉窈,許書寧",玉山社出版事業股份有限公司,2019-09-20,9789862942420,1003119012795098,https://www.eslite.com/product/1003119012795098,沒有
底層邏輯: 看清這個世界的底牌,劉潤,時報文化出版企業股份有限公司,2022-03-29,9786263350717,1001110932682144182002,https://www.eslite.com/product/1001110932682144182002,有
逐玉 第二部 上中下 (3冊合售),團子來襲,英屬維京群島商高寶國際有限公司台灣分公司,2025-11-12,9786264023726,10012017642683018050007,https://www.eslite.com/product/10012017642683018050007,沒有
"The Goodbye (Note)Book告別練習日記: 遺憾, 是還留在過去的你自己+勇敢告別的人, 生活會獎勵一場新的開始 勇敢告別練習套組 (附金句筆/2冊合售)",Peter Su,是日創意文化有限公司,2026-04-07,9990867329592,10012030392683114021000,https://www.eslite.com/product/10012030392683114021000,沒有
薰香花朵凛然綻放 16 (首刷限定版),"羅筱君,三香見SAKA",東立出版社有限公司,2026-03-02,9786260268589,10012150962683087740007,https://www.eslite.com/product/10012150962683087740007,沒有
阿甘投資法: 不看盤、不選股、不挑買點也能穩穩賺,闕又上,遠見天下文化出版股份有限公司,2020-05-27,9789864799961,1001122732847369,https://www.eslite.com/product/1001122732847369,有
擁有過 就好: 告別青春的最後一封情書,黃山料,三采文化股份有限公司,2025-12-01,9786263587922,10012014082683030027001,https://www.eslite.com/product/10012014082683030027001,有
"持續買進: 資料科學家的投資終極解答, 存錢及致富的實證方法","Nick Maggiulli,尼克．馬朱利,李芳齡",商業周刊,2023-05-30,9786267252710,1001247312682383434009,https://www.eslite.com/product/1001247312682383434009,有
原子習慣WORKBOOK (官方版/誠品獨家書衣版/附練習別冊),"蔡世偉,James Clear,詹姆斯．克利爾",方智出版社股份有限公司,2026-03-05,2026030117523,10012036172683095139008,https://www.eslite.com/product/10012036172683095139008,沒有
"The Goodbye (Note)Book告別練習日記: 遺憾, 是還留在過去的你自己",Peter Su,是日創意文化有限公司,2026-04-07,9786269296033,10012030392683114130009,https://www.eslite.com/product/10012030392683114130009,沒有
"富爸爸, 窮爸爸 (25週年紀念版)","羅勃特．T．清崎,MTS翻譯團隊,Robert T. Kiyosaki",英屬維京群島商高寶國際有限公司台灣分公司,2022-09-14,9789865064679,1001123032682251788005,https://www.eslite.com/product/1001123032682251788005,有
冠軍之路: 2024世界棒球12強賽感動全紀錄聯名電影書,曾文誠/ 陳祖安,遠流出版事業股份有限公司,2026-01-29,9786264185295,10012010302683075186008,https://www.eslite.com/product/10012010302683075186008,沒有
致富心態: 關於財富、貪婪與幸福的20堂理財課 (全球暢銷千萬增訂版),"周玉文/ 林俊宏,摩根．豪瑟,Morgan Housel",遠見天下文化出版股份有限公司,2026-02-03,9786264177917,10012030542683083746003,https://www.eslite.com/product/10012030542683083746003,有
窮查理的普通常識: 巴菲特50年智慧合夥人查理．蒙格的人生哲學 (紀念典藏版),"Charles T. Munger,查理．蒙格,李彔/ 李繼宏/ 編譯,Peter Kaufman,彼得．考夫曼",商業周刊,2024-04-30,9786267366882,10012172932682559368008,https://www.eslite.com/product/10012172932682559368008,有
海邊的房間,黃麗群,時報文化出版企業股份有限公司,2024-07-30,9786263965126,10012010632682600065009,https://www.eslite.com/product/10012010632682600065009,有
絕叫: 日本推理四大獎、現象級小說經典復活!,"林佩瑾,葉真中顯",圓神出版社有限公司,2025-12-01,9789861339986,10012036172683041432009,https://www.eslite.com/product/10012036172683041432009,有
"財富自由心理學: 療癒金錢焦慮, 修練致富心態 (附限量三步驟財富自由實戰計畫)",蔡宇哲/ 郝旭烈,遠見天下文化出版股份有限公司,2026-01-27,4711488874002,10012030542683079404009,https://www.eslite.com/product/10012030542683079404009,沒有
Cranium骸骨謎案 上下 (2冊合售),"椒麻雞,Em-mika,Nalan",三日月書版股份有限公司,2026-03-25,9786267793367,10012017642683112833001,https://www.eslite.com/product/10012017642683112833001,沒有
長期買進: 財金教授周冠男的42堂自制力投資課,周冠男,遠見天下文化出版股份有限公司,2024-07-31,9786263558434,10012030542682614097003,https://www.eslite.com/product/10012030542682614097003,有
擁有過 就好: 告別青春的最後一封情書 (限量親簽版),黃山料,三采文化股份有限公司,2025-12-01,4711528700902,10012014082683030028008,https://www.eslite.com/product/10012014082683030028008,沒有
"最新! 新制TOEIC多益閱讀題庫解析: 最新收錄精準10回模擬試題! 每月進場實測分析、完整傳授答題技巧, 黃金證書手到擒來! (附單字音檔下載QRCode/2冊合售)","Tina,Hackers Academia",國際學村出版社,2024-07-04,9789864543687,10012016082682596274003,https://www.eslite.com/product/10012016082682596274003,有
"如果想念是潮汐, 想必朝朝夕夕 (限量親簽贈品版/附我們的愛就如潮汐般壓克力流沙鑰匙圈/附思念灑落一地滿版霧透書籤2款隨機1入)",睦辰,時報文化出版企業股份有限公司,2026-03-24,4711441074715,10012010632683105249000,https://www.eslite.com/product/10012010632683105249000,沒有
"看穿內心情緒的行為暗示心理學: 頂尖心理學家證實, 99%人能看透的50招讀心術","郭欣怡,內藤誼人",方言文化出版事業有限公司,2018-04-11,9789869617550,1001183572666954,https://www.eslite.com/product/1001183572666954,沒有
地縛少年花子君 25 (首刷限定版),"曾怡華,あいだいろ",東立出版社有限公司,2026-03-05,9786260266295,10012150962683082016008,https://www.eslite.com/product/10012150962683082016008,沒有
新日檢完勝500題N4-N5: 文字．語彙．文法,"松本紀子/ 佐佐木仁子,佐々木仁子,林士鈞",眾文圖書股份有限公司,2016-01-10,9789575324735,1001116122477906,https://www.eslite.com/product/1001116122477906,沒有
蘋果之道: 重新定義世界的50年 (獨家硬精版),"David Pogue,林俊宏/ 黃瑜安/ 廖月娟/ 林子揚,大衛．波格",遠見天下文化出版股份有限公司,2026-03-31,4711488874026,10012030542683101038004,https://www.eslite.com/product/10012030542683101038004,沒有
"做自己的太陽, 去看你想看的星星和月亮",角子,平裝本出版有限公司,2025-12-01,9786269262441,10012020052683042320008,https://www.eslite.com/product/10012020052683042320008,有
"活用技術分析寶典: 飆股上校朱家泓40年實戰精華, 從K線、均線到交易高手的養成祕笈 上、下冊 (2冊合售)",朱家泓,金尉股份有限公司,2024-11-21,9786267549087,10012011762682664727004,https://www.eslite.com/product/10012011762682664727004,有
"抄寫英語的奇蹟: 1天10分鐘, 英語和人生都起飛",林熙 Brett Lindsay,如何出版社有限公司,2024-03-01,9789861366838,10012036172682524841000,https://www.eslite.com/product/10012036172682524841000,有
希臘語課,"韓江,陳思瑋,한강",漫遊者文化事業股份有限公司,2026-02-24,9786264091961,10012122452683089454001,https://www.eslite.com/product/10012122452683089454001,有
人際關係的思維槓桿: 打造深刻連結的26個支點,王宏嘉 (米克)/ 陳卓凡 (麥可),遠見天下文化出版股份有限公司,2026-01-30,9786264177368,10012030542683079398001,https://www.eslite.com/product/10012030542683079398001,有
伴你朝朝暮暮 續: 直到兩情相悅 3 (首刷限定版),"蔡夢芳,倉橋トモ",東立出版社有限公司,2026-03-18,9786260263591,10012150962683089719001,https://www.eslite.com/product/10012150962683089719001,沒有
上帝的黑名單 II: 饕餮 飢國之惡,盧春如,一品文化出版社,2026-01-27,9786269279579,10012295492683079955006,https://www.eslite.com/product/10012295492683079955006,沒有
傲慢與偏見 (200週年紀念版),"Jane Austen,珍．奧斯汀,張思婷",漫遊者文化事業股份有限公司,2015-09-08,9789865671655,1001180772448113,https://www.eslite.com/product/1001180772448113,沒有
卡芙涅 (誠品灶咖獨家書封限量親簽版),"王蘊潔,阿部曉子,阿部暁子",皇冠文化出版有限公司,2026-03-30,1000073344086,10012020052683113156000,https://www.eslite.com/product/10012020052683113156000,沒有
"最新! 新制多益TOEIC聽力題庫解析: 最新收錄精準10回模擬試題!完整反映命題趨勢、大幅提升應考能力, 黃金證書手到擒來! (附2MP3/模擬試題/單題分割/單字記憶3種版本/QRCode)","許竹瑩/ 談采薇,Hackers Academia",國際學村出版社,2024-07-04,9789864543632,10012016082682595339000,https://www.eslite.com/product/10012016082682595339000,有
"讓上司挺你、朋友懂你, 跟誰都能聊不停的回話技術: 談判、責罵、提案、請託, 40個讓人欲罷不能、拍手叫好的臨場說話術","福田健,鍾嘉惠",采實文化事業股份有限公司,2014-10-23,9789865683177,1001251382367480,https://www.eslite.com/product/1001251382367480,有
"人生只有兩件事, 關你屁事和關我屁事 (暢銷典藏改版)",老楊的貓頭鷹,英屬維京群島商高寶國際有限公司台灣分公司,2025-10-22,9786264023368,10012017642683016249007,https://www.eslite.com/product/10012017642683016249007,有
薰香花朵凛然綻放 17 (首刷限定版),"羅筱君,三香見SAKA",東立出版社有限公司,2026-03-31,9786260271176,10012150962683105195000,https://www.eslite.com/product/10012150962683105195000,沒有
"世界上最神奇的24堂課: 全世界唯一一本, 因為揭露致富秘訣而被查禁的書!","Charles F.Haanel,查爾斯．哈奈爾,靜濤",海鷹文化,2023-06-29,9789863924937,10012016082682399394007,https://www.eslite.com/product/10012016082682399394007,沒有
非暴力溝通: 愛的語言 (全新修訂版),"馬歇爾．盧森堡,蕭寶森,Marshall B. Rosenberg",光啓文化事業,2024-07-16,9789575469078,1001111072787487,https://www.eslite.com/product/1001111072787487,沒有
蔡康永的情商課 1-3誠品限量套書 (3冊合售),蔡康永,如何出版社有限公司,2024-08-01,2024080136501,10012036172682610057001,https://www.eslite.com/product/10012036172682610057001,沒有
魔男伊奇 5 (首刷限定版),"叢琳,宇佐崎しろ,宇佐崎しろ; 西修/ 原作",東立出版社有限公司,2026-03-18,9786260264833,10012150962683093051005,https://www.eslite.com/product/10012150962683093051005,沒有
"別對每件事都有反應: 淡泊一點也無妨, 活出快意人生的99個禪練習! (限量暢銷特典版)","黃薇嬪,枡野俊明,Shunmyo Masuno",悅知文化,2024-12-18,4711510763342,10012122082682804863005,https://www.eslite.com/product/10012122082682804863005,沒有
"自學日語: 看完這本就能說! 專為華人設計的日語教材, 50音+筆順+單字+文法+會話一次學會! (附QR碼線上音檔/真人發音教學影片)",許心瀠,語研學院,2020-12-10,9789869878494,1001271692681949005004,https://www.eslite.com/product/1001271692681949005004,沒有
挪威的森林 上下 (30周年紀念版/2册合售),"村上春樹,賴明珠",時報文化出版企業股份有限公司,2018-07-31,9789571374697,1001110932693314,https://www.eslite.com/product/1001110932693314,有
黃山料新冠軍套書: 擁有過 就好+把日子慢慢變好+餘生是你 晚點沒關係 (3冊合售),黃山料,三采文化股份有限公司,2026-02-26,4711528701145,10012014082683094870001,https://www.eslite.com/product/10012014082683094870001,沒有
紀律長贏: 揭開清大校務基金操盤人風險控管與穩定獲利的策略,林哲群,遠見天下文化出版股份有限公司,2026-01-30,9786264177443,10012030542683076169000,https://www.eslite.com/product/10012030542683076169000,有
一個普通人如何守住財富與人生: 畢德歐夫帶你搞懂資產配置、老後風險與代間傳承,畢德歐夫,先覺出版股份有限公司,2026-03-01,9789861345666,10012036172683095832008,https://www.eslite.com/product/10012036172683095832008,有
新基本小六法 (2026年2月版),三民書局編輯委員會,三民書局股份有限公司,2026-02-25,9789571480121,10012010162683094108005,https://www.eslite.com/product/10012010162683094108005,沒有
各種悲傷,"Mariana Leky,區立遠,瑪麗安娜．萊基",麥田出版社,2024-11-30,9786263107557,10012013192682788695005,https://www.eslite.com/product/10012013192682788695005,有
世界盡頭的咖啡館套書: 生命思考暢銷經典 (2冊合售),"Elsa/ 郭庭瑄,John Strelecky,約翰．史崔勒基",三采文化股份有限公司,2026-02-05,4711528701091,10012014082683084039005,https://www.eslite.com/product/10012014082683084039005,沒有
日本語GOGOGO 1 (增訂版),財團法人語言訓練測驗中心,豪風出版有限公司,2021-09-29,9789860612684,1001129492682062072003,https://www.eslite.com/product/1001129492682062072003,沒有
原子習慣: 細微改變帶來巨大成就的實證法則 (誠品獨家書衣版),"蔡世偉,詹姆斯．克利爾,James Clear",方智出版社股份有限公司,2026-03-05,2026030117516,10012036172683095140004,https://www.eslite.com/product/10012036172683095140004,沒有
進烤箱的好日子,李佳穎,自轉星球文化創意事業有限公司,2024-07-01,9789869202176,10012030392682598702009,https://www.eslite.com/product/10012030392682598702009,有
快思慢想 (新版),"康納曼,Daniel Kahneman,洪蘭",遠見天下文化出版股份有限公司,2023-07-10,4713510943779,10012030542682410260007,https://www.eslite.com/product/10012030542682410260007,沒有
完美拋棄2次貞操的方法Season2 上 (首刷限定版),"加奈,ずんだ餅粉",東立出版社有限公司,2026-03-04,9786260267322,10012150962683087750006,https://www.eslite.com/product/10012150962683087750006,沒有
當呼吸化為空氣: 一位天才神經外科醫師最後的生命洞察 (揪心感動暢銷版),"Paul Kalanithi,唐勤/譯,保羅．卡拉尼提",時報文化出版企業股份有限公司,2021-05-11,9789571388793,1001110932682010605000,https://www.eslite.com/product/1001110932682010605000,沒有
"沿著海, 遇見你: 英為你心動 (誠品獨家雙書衣限定版)","李雅英,李彥勳,Lee A-Young",尖端出版,2026-03-20,4717702300661,10012116312683103907001,https://www.eslite.com/product/10012116312683103907001,沒有
刑事訴訟法題型破解 上 (2026/第8版/律師/司法官/高考/法研所),Jango,學稔出版股份有限公司,2026-01-31,9786267758182,10012089252683090937005,https://www.eslite.com/product/10012089252683090937005,沒有
波段的紀律,雷老闆 (王韋閔),大是文化有限公司,2024-09-27,9786267448960,10012119292682639801005,https://www.eslite.com/product/10012119292682639801005,有
"易學易用黃帝內經: 中醫師反覆研讀的寶典, 如今一般人也能實踐 12條經絡、365個穴位白話詳解, 經之所過, 病之所治",中里巴人 (鄭幅中),大是文化有限公司,2023-10-26,9786267328842,10012119292682459138008,https://www.eslite.com/product/10012119292682459138008,有
完美拋棄2次貞操的方法Season2 下 (首刷限定版),"加奈,ずんだ餅粉",東立出版社有限公司,2026-03-04,9786260267339,10012150962683087751003,https://www.eslite.com/product/10012150962683087751003,沒有
此生如鴿: 間諜小說大師勒卡雷的38個人生片羽,"李靜宜,John Le Carre,約翰．勒卡雷",木馬文化事業有限公司,2021-02-24,9789863598619,1001128312681979342001,https://www.eslite.com/product/1001128312681979342001,沒有
摘柿記,林琪香,木馬文化事業有限公司,2025-06-04,9786263148215,10012043902682910506001,https://www.eslite.com/product/10012043902682910506001,有
"想哭就哭吧, 你不需要那麼懂事",Peter Su,是日創意文化有限公司,2025-01-22,9786269847983,10012030392682819740001,https://www.eslite.com/product/10012030392682819740001,有
療傷遊戲重新開始 6 (首刷限定版),"蔡夢芳,日ノ原巡",東立出版社有限公司,2026-03-25,9786260262990,10012150962683102626002,https://www.eslite.com/product/10012150962683102626002,沒有
財商: 不費力才會贏,吳淡如,時報文化出版企業股份有限公司,2026-01-20,9786264440547,10012010632683071132009,https://www.eslite.com/product/10012010632683071132009,沒有
"我畢業五年, 用ETF賺到400萬: 每月1, 000元就能開始! 不用兼差斜槓, 兩檔ETF投資組合, 年賺20%以上",PG財經筆記,大是文化有限公司,2019-12-31,9789579654609,1001191562813505,https://www.eslite.com/product/1001191562813505,有
"做自己的生命設計師: 史丹佛最夯的生涯規畫課, 用設計思考重擬問題, 打造全新生命藍圖","Bill Burnett/ Dave Evans,許恬寧,比爾．柏內特/ 戴夫．埃文斯",大塊文化出版股份有限公司,2016-10-28,9789862137505,1001129722549253,https://www.eslite.com/product/1001129722549253,有
刑事訴訟法題型破解 下 (2026/第8版/律師/司法官/高考/法研所),Jango,學稔出版股份有限公司,2026-02-03,9786267758243,10012089252683090945000,https://www.eslite.com/product/10012089252683090945000,沒有
