書名,作者,原文作者,譯者,繪者,出版社,出版日期,ISBN,URL
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,修改,Eric Jorgenson,Eric Jorgenson,Eric Jorgenson,天下雜誌,2025/2/5,9.78986E+12,https://www.books.com.tw/products/0011012422
少年臺灣史 二○一九年增訂版,修改,,,許書寧,玉山社,2019/9/20,9.78986E+12,https://www.books.com.tw/products/0010834309
日花閃爍：台語的美麗詞彙&一百首詩,修改,,,,時報出版,2026/1/6,9.78626E+12,https://www.books.com.tw/products/0011039851
鏈鋸人 (首刷限定版) 22,修改,,吳勵誠,,東立,2026/2/6,9.78626E+12,https://www.books.com.tw/products/0011041755
Gemini 3 x NotebookLM領軍：Nano Banana Pro x Veo x Whisk x Flow x Gem - Google 多模態 AI 工作流,修改,,,,深智數位,2026/1/7,9.78627E+12,https://www.books.com.tw/products/0011041635
Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康,修改,Nicole Vignola,Nicole Vignola,,麥田,2024/6/1,9.78626E+12,https://www.books.com.tw/products/0010990062
特殊傳說III【2026珍藏特裝組】,修改,,,紅麟,蓋亞,2026/2/11,4.7111E+12,https://www.books.com.tw/products/0011044492
SPY×FAMILY 間諜家家酒 (首刷限定版) 16,修改,,陳姿君,,東立,2026/2/12,9.78626E+12,https://www.books.com.tw/products/0011042311
惡靈剋星 (首刷限定版) 6,修改,,羅筱君,,東立,2026/2/5,9.78626E+12,https://www.books.com.tw/products/0011042684
葬送的芙莉蓮 (特裝版) 15,修改,,里歐貝萊,,東立,2026/1/29,9.78626E+12,https://www.books.com.tw/products/0011041767
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,修改,,,,國際學村,2024/7/24,4.71338E+12,https://www.books.com.tw/products/0010994781
主角模式：從「我得這樣」到「我可以選擇」，影響7500萬人的成長祕密,修改,樊登,,,金尉,2026/1/8,9.78627E+12,https://www.books.com.tw/products/0011038878
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,修改,John Strelecky,John Strelecky,,三采,2025/2/27,9.78626E+12,https://www.books.com.tw/products/0011014199
在小山和小山之間：故事大爆炸年度首獎之作,修改,,,,悅知文化,2026/1/26,9.78627E+12,https://www.books.com.tw/products/0011042972
冠軍之路：2024世界棒球12強賽感動全紀錄【聯名電影書】,修改,,,,遠流,2026/1/29,9.78626E+12,https://www.books.com.tw/products/0011042760
